id_news,title,date
21888153.0,Funcionarios del hospital de Puerto Montt se manifiestan por despidos masivos,2021-09-30
21887487.0,Municipalidad de Puerto Montt perfeccionará Protección de Humedales Urbanos con observaciones ciudadanas,2021-12-12
21887590.0,Municipio de Puerto Montt deberá pagar 84 millones por muerte de menor,2021-09-04
47517806.0,PDI clausura matrimonio y detiene a la pareja de novios en Polincay,2021-07-03
22596522.0,Nuevos Abogados y Abogadas prestaron juramento,2021-09-28
22330387.0,Encuentran un cuerpo sin vida en sitio eriazo de Puerto Montt,2021-11-02
21469901.0,Detienen a mujer que habría apuñalado a su pareja en Puerto Montt,2021-10-04
21473562.0,Reportan tercer incendio en menos de una semana en Puerto Montt,2021-10-05
21887381.0,Hospital Puerto Montt realiza primer procuramiento de corazón,2021-12-18
21888454.0,Gendarme frustra intento de fuga desde Hospital de Puerto Montt,2021-11-03
21382444.0,Nuevos profesionales de Derecho juraron,2021-11-25
21887495.0,Taller con 22 autos y una moto completamente destruido por incendio en Puerto Montt,2021-12-08
47521448.0,Teletón de Puerto Montt completó casi 53 mil atenciones durante 2020,2021-08-11
47520662.0,Teletón de Puerto Montt completó casi 53 mil atenciones durante 2020,2021-08-11
22396980.0,Encuentran sin vida a comunicador que se extravió en las aguas del lago Llanquihue,2021-12-07
22335236.0,Encuentran sin vida a comunicador que se extravió en las aguas del lago Llanquihue,2021-12-07
21888237.0,Una persona lesionada deja colisión frontal en la ruta Alerce – Puerto Montt,2021-11-07
47531344.0,El vóleibol todo competidor tendrá acción todo el fin de semana largo,2021-10-29
21469122.0,Sujeto de 47 años es detenido tras 6 años prófugo por denuncia de violencia intrafamiliar,2021-11-14
21470175.0,Pareja de adultos mayores falleció por incendio en su vivienda,2021-08-17
21474135.0,Pareja de adultos mayores falleció por incendio en su vivienda,2021-08-17
21887744.0,Joven que egresaría de cuarto medio murió en incendio registrado en Puerto Montt,2021-08-25
22330496.0,ULagos inaugura edificio y proyecta nueva infraestructura,2021-10-31
21446078.0,Rama femenina de básquetbol de Puerto Varas se coronó campeón de Cuadrangular Adulto Femenino,2021-09-07
21887365.0,Lenta habilitación de mesas en algunos locales de Puerto Montt generó molestia en electores,2021-12-19
21912190.0,Gobierno repudió vandalismo y Carabineros defendió protocolos de intervención durante manifestaciones,2021-10-19
21433387.0,Aduanas decomisan camión y minibús por infringir normativas de Zona Franca,2021-07-13
21391458.0,Embajador Jostein Leiro destacó relevancia de Puerto Montt en vínculos de Chile con Noruega,2021-11-29
21409928.0,Delegado Geisse lamentó hechos de violencia en manifestaciones que dejaron 4 detenidos y seis carabineros lesionados,2021-10-19
22334751.0,Desbaratan banda que buscaba traficar 20 mil dosis de droga en la provincia,2021-11-12
21888577.0,Por secuestro cuatro personas fueron detenidas por Carabineros en Puerto Montt,2021-10-28
47388133.0,Allanaron un Domicilio en Puerto Varas: PDI desarticula banda criminal e incauta más de $100 millones en droga,2021-11-12
21913294.0,Más de 8 kilos de Marihuana incautada en Los Ríos tenía como destino Puerto Montt,2021-09-03
21443285.0,Delegación regional de Los Lagos participará en los Juegos Para - Araucanía Chile 2021 que se realizarán en Temuco,2021-11-25
21470487.0,Joven de 22 años fue detenida: Descubrieron encomienda con éxtasis que le llegaría desde Holanda,2021-08-12
21426796.0,En Puerto Montt: PDI incauta encomienda con éxtasis proveniente de Holanda,2021-08-13
21395081.0,Municipio de Puerto Montt transmitirá en vivo sesiones del Concejo Municipal,2021-07-14
21386906.0,Encomienda con éxtasis proveniente de Holanda fue incautada por personal de PDI en Puerto Montt,2021-08-12
21887910.0,PDI desarticula banda criminal e incauta más de $100 millones en droga en Puerto Montt,2021-11-11
21382429.0,Municipalidad de Puerto Montt transmitirá en vivo sesiones del Concejo Municipal,2021-07-13
21911600.0,Dos manifestaciones con cortes de ruta se registran en la Región de Los Lagos,2021-11-08
21470318.0,Hallan cuerpo sin vida de adulto mayor flotando en el mar,2021-08-22
21473375.0,Dos fallecidos y un lesionado de gravedad dejó un accidente de tránsito en Puerto Montt,2021-11-14
21473136.0,Vehículo atravesó poste eléctrico y tres personas quedaron heridas,2021-11-20
21474372.0,Accidente de tránsito terminó con la vida de un caballo: Camión lo impactó y murió en el lugar,2021-07-05
21889343.0,Gendarmes incautan 88 armas blancas en la cárcel Alto Bonito de Puerto Montt,2021-08-17
47523722.0,Confirman 29 sospechosos de variante delta en la provincia,2021-08-31
22594810.0,Quiebre en stock de vacunas: autoridades aseguran que proceso se retoma hoy,2021-07-23
47525930.0,Proyecto busca potenciar las habilidades musicales de niños y jóvenes de la zona,2021-09-26
22334872.0,Reducen a cero la lista de espera de cirugía y traumatología infantil,2021-11-16
22333607.0,Nuevos contagios sumaron 48 en la región y subió a 189 la cifra de enfermos activos,2021-10-24
21475437.0,"Alcalde Paredes por retroceso a Fase 3 y bajas en vacunación: ""Es una alerta, cuidemos lo que tenemos”",2021-11-24
21475663.0,Cayó clan familiar que mantenía más de 7 kilos de droga: Madre era la líder de la banda,2021-11-12
47529861.0,Delfines y los flancos que se le abren para lograr título o asegurar liguilla,2021-11-03
47530338.0,Plan Tenglo se inicia con una limpieza masiva del borde costero de Puntilla,2021-11-13
47534352.0,Concejales explican por qué no apoyaron modificación de la ordenanza municipal,2021-12-11
22335946.0,Autoridades coincidieron en que ambulantes están desbordados,2021-12-23
47523291.0,"""(Tren Puerto Montt-Alerce) no lo veo a corto plazo, pero tampoco lo descarto""",2021-08-29
21888671.0,El Velero volvió al triunfo en Arica: Venció al local 1-2 y sumó 41 puntos en la B,2021-10-23
21470423.0,Robos y daños afectaron a escuela y jardín de Puerto Montt: Pérdidas bordean los 200 millones de pesos,2021-08-17
21470671.0,Sujeto murió tras sufrir agresión en la calle: Fue golpeado brutalmente en la cabeza,2021-07-28
21387093.0,Puerto Montt: Colisión de dos vehículos se produjo avenida Mataveri con Ramon Munita,2021-08-04
21888455.0,Decomisan más de 31 mil dosis de marihuana que intentaban ingresar a Puerto Montt,2021-11-01
21469740.0,Murió conductor de minibús que chocó en acceso a Puerto Montt,2021-10-20
47533765.0,El Velero sigue en busca de DT y dos jugadores emigran a Rangers,2021-12-23
47524040.0,Salud reporta diez nuevos contagios de coronavirus en la Región de Los Lagos,2021-09-01
47530342.0,Imputado por homicidio frustrado es aprehendido,2021-11-13
47521445.0,Sólo ocho comunas de la Región de Los Lagos sumaron ayer casos nuevos de coronavirus,2021-08-11
22334726.0,Cae banda que robaba salmones desde un centro en Bahía Ilque,2021-11-24
21890124.0,Fijan audiencia de preparación de juicio oral por fatal atropello de soldado en Puerto Montt,2021-07-13
21470102.0,Celular regalado a funcionario municipal fue clave para esclarecer asesinato en Puerto Montt,2021-09-22
21387705.0,Puerto Montt: Corte ratifica fallo que condena a supermercado por el robo que sufrió un cliente,2021-07-09
22396011.0,ULagos inaugura edificio y proyecta infraestructura,2021-11-02
47526788.0,Anemia de goles en el Ester Roa: los Delfines y la UdeC no se hacen daño,2021-09-28
47522991.0,Casi 27 mil extranjeros viven en la Región de Los Lagos,2021-08-28
22330550.0,Mario Ortega y su generoso servicio,2021-11-05
21443350.0,IP Santo Tomás: Firma de convenio fortalece alianza con gremio de contadores,2021-12-11
47523307.0,Puerto Montt pierde el invicto en el Chinquihue ante San Felipe,2021-08-29
47517833.0,Frente a Wanderers Puerto Montt Femenino buscará la recuperación,2021-07-03
21912440.0,Camioneros de Los Lagos no descartan adherirse al paro de los transportistas,2021-10-09
21474383.0,Excursionista es rescatado tras caída en volcán Casablanca [VIDEO],2021-07-04
21888163.0,La PDI realiza diligencias en torno a robo registrado en empresa de Puerto Montt,2021-09-22
21476711.0,Buscan a anciano que se extravió en zona rural de Puerto Montt,2021-07-21
47527068.0,Sólo cinco reos en Puerto Montt y Castro son favorecidos con libertad condicional,2021-10-08
22336161.0,Temporales dijeron adiós con éxito de convocatoria y repensando el streaming,2021-12-28
22333001.0,Anuncian pronta inauguración de Centro Día para Adultos Mayores en Puerto Montt,2021-10-11
21428165.0,Se dictó Taller UACh de Inducción a la Metodología de las 5'S,2021-09-16
21384172.0,CodarteChiloé se suma al proyecto “Ruta Sonora” de la Universidad Austral de Chile,2021-10-08
21383051.0,Gobernador Vallespín se reúne con gremio de transportistas de la provincia de Palena y consejero regional por compleja situación del puente Yelcho,2021-07-22
21411119.0,Gobernador Vallespín se reúne con gremio de transportistas de la provincia de Palena y consejero regional por compleja situación del puente Yelcho,2021-07-21
47379620.0,Naturaleza y Arte: exposición de niños y jóvenes de la Teletón en Galería Bosque Nativo,2021-12-09
21887492.0,Municipalidad de Puerto Montt despacha primer envío de ayuda a Castro,2021-12-11
21887671.0,Gremio de enfermería en desacuerdo por cambios en el Hospital de Puerto Montt,2021-09-02
21888647.0,Aprueban auditoría externa para el Daem de Puerto Montt y edil Cuitiño anunció querella,2021-10-21
47522775.0,Clubes de la región serán parte de nacional online de remoergómetro,2021-08-21
22595743.0,Cámara de Comercio participa en la elaboración de propuestas nacionales,2021-09-28
47528230.0,Investigan venta de sushi en mal estado en dos locales de Puerto Montt,2021-10-19
21936794.0,Deportistas de la región destacaron en los Juegos Para Araucanía Chile 2021,2021-11-26
21432526.0,Con operativos móviles reducen lista de espera de otorrino,2021-09-11
21378941.0,Deportistas de la región destacaron en los Juegos Para Araucanía Chile 2021,2021-11-26
21382906.0,Cores comprometen apoyo para comprar furgones,2021-10-23
47523721.0,Estudio de vacunación en niños a punto de iniciar en Puerto Montt,2021-08-31
47522294.0,Condenan al municipio de Puerto Montt a pagar $85 millones por muerte de un menor,2021-09-02
47523379.0,Condenan a la Municipalidad al pago de $85 millones por muerte de menor,2021-09-02
22335098.0,Delfines sufren traspié en casa y buscarán revertir su suerte de visita,2021-11-26
21383741.0,Inician marcha blanca para controlar comercio ambulante en el centro de Puerto Montt,2021-12-17
21384822.0,Municipalidad invertirá más de $1.500 millones de pesos en útiles escolares,2021-10-01
22335254.0,Chacay: el enemigo inflamable que crece junto a las casas de la región,2021-12-11
22334689.0,Puerto Montt logró dos campeones en nacional de maxibásquetbol,2021-11-10
22335903.0,Los tacos marcaron la jornada de la segunda vuelta,2021-12-20
21470793.0,Mujer está en riesgo vital en Puerto Montt tras agredida por su pareja,2021-07-20
21474434.0,"Pareja de novios y administradora de centro de eventos fueron detenidos por realizar matrimonio ""clandestino""",2021-07-02
